index,ChEMBL ID,Name,canonical_smiles
140,CHEMBL2106723,FURAZOLIUM CHLORIDE,O=[N+]([O-])c1ccc(-c2csc3[n+]2CCN3)o1.[Cl-]
141,CHEMBL2106567,DECTAFLUR,CCCCCCCC/C=C/CCCCCCCCN.F
142,CHEMBL2107649,TRAZIUM ESILATE,CCS(=O)(=O)[O-].OC1(c2ccc(Cl)cc2)NC=N[n+]2ccc3ccccc3c21
143,CHEMBL3990514,LEVOXADROL,c1ccc(C2(c3ccccc3)OC[C@@H]([C@H]3CCCCN3)O2)cc1
144,CHEMBL2108240,CIROLEMYCIN,
145,CHEMBL3989935,ATELOCANTEL,COc1cc(NCCNC(=O)/C=C/C(C)(F)F)ccn1
146,CHEMBL2105453,PERISOXAL,OC(CN1CCCCC1)c1cc(-c2ccccc2)on1
147,CHEMBL1200385,ARBUTAMINE HYDROCHLORIDE,Cl.Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
148,CHEMBL1765294,FLUPAROXAN,Fc1cccc2c1O[C@H]1CNC[C@@H]1O2
149,CHEMBL2109127,LEMALESOMAB,
150,CHEMBL2109105,BINIRAMYCIN,
151,CHEMBL2109320,CAT-203,
152,CHEMBL2109336,BU12 90Y,
153,CHEMBL2109448,MAB-216,
154,CHEMBL2106390,IOSEFAMIC ACID,CNC(=O)c1c(I)c(NC(=O)CCCCCCCCC(=O)Nc2c(I)c(C(=O)O)c(I)c(C(=O)NC)c2I)c(I)c(C(=O)O)c1I
155,CHEMBL2108642,SENOFILCON A,
156,CHEMBL2110952,GALDANSETRON,Cc1[nH]cnc1C[C@H]1CCc2c(c3ccccc3n2C)C1=O
157,CHEMBL2111127,OXIFUNGIN,c1ccc(OCC2=Nc3cnccc3NN2)cc1
158,CHEMBL2107030,PRETAMAZIUM IODIDE,CC[n+]1c(-c2ccc(-c3ccccc3)cc2)csc1/C=C/c1ccc(N2CCCC2)cc1.[I-]
159,CHEMBL2106773,FLUROGESTONE ACETATE,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
160,CHEMBL2105898,AZASPIRIUM CHLORIDE,C=C1C[N+]2(CCCCC2)Cc2c1oc1c(OC)c3occc3c(OC)c1c2=O.[Cl-]
161,CHEMBL2105055,HEXOPYRRONIUM BROMIDE,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCCC2)C1.[Br-]
162,CHEMBL2108619,LONTUCIREV (REPLICATING ADENOVIRUS),
163,CHEMBL2218899,CISCONAZOLE,Fc1ccc2c(c1)C(OCc1c(F)cccc1F)C(Cn1ccnc1)S2
164,CHEMBL2107843,ALFERMINOGENE TADENOVEC,
165,CHEMBL3989770,TALISOMYCIN,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)CC(=O)N[C@H](C(=O)NC(O[C@@H]1O[C@@H](C)[C@@H](N)[C@@H](O)[C@H]1O)C(O)c1nc(-c2nc(C(=O)NCCCC(N)CC(=O)NCCCNCCCCN)cs2)cs1)[C@@H](C)O)[C@H](O[C@@H]1O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](OC(N)=O)[C@@H]1O)c1c[nH]cn1
166,CHEMBL2107983,PEGNARTOGRASTIM,
167,CHEMBL2108189,ELDEXOMER,
